Rank,Name,Pos,Team,Bye,Proj,ADP
1,Jahmyr Gibbs,RB,DET,6,365.7,1.3
2,Bijan Robinson,RB,ATL,11,352.8,2.4
3,Ja'Marr Chase,WR,CIN,6,336.9,4.3
4,Puka Nacua,WR,LAR,11,353.6,5.3
5,Jonathan Taylor,RB,IND,13,316.3,6.2
6,Jaxon Smith-Njigba,WR,SEA,11,326.7,6.3
7,Christian McCaffrey,RB,SF,8,341.9,7.7
8,Amon-Ra St. Brown,WR,DET,6,324.4,8.4
9,James Cook III,RB,BUF,7,280.3,10.1
10,CeeDee Lamb,WR,DAL,14,293.6,11.8
11,Justin Jefferson,WR,MIN,6,294.7,12.6
12,De'Von Achane,RB,MIA,6,293.6,12.4
13,Omarion Hampton,RB,LAC,7,261.7,18.2
14,Chase Brown,RB,CIN,6,271.6,17.0
15,Saquon Barkley,RB,PHI,10,273.3,14.0
16,Derrick Henry,RB,BAL,13,277.8,16.6
17,Ashton Jeanty,RB,LV,13,278.9,21.8
18,Drake London,WR,ATL,11,269.8,20.3
19,Jeremiyah Love,RB,ARI,14,276.5,26.0
20,A.J. Brown,WR,NE,11,249.7,21.0
21,Trey McBride,TE,ARI,14,241.7,23.0
22,Brock Bowers,TE,LV,13,240.9,23.9
23,Nico Collins,WR,HOU,8,248.2,25.7
24,Chris Olave,WR,NO,8,249.8,29.3
25,Rashee Rice,WR,KC,5,259.3,29.4
26,Josh Allen,QB,BUF,7,370.6,19.2
27,George Pickens,WR,DAL,14,239.3,28.2
28,Kenneth Walker III,RB,KC,5,273.1,24.9
29,Garrett Wilson,WR,NYJ,13,250.3,37.1
30,Breece Hall,RB,NYJ,13,274.5,36.0
31,Javonte Williams,RB,DAL,14,259.5,32.8
32,Kyren Williams,RB,LAR,11,232.0,35.1
33,Malik Nabers,WR,NYG,8,243.9,35.0
34,DeVonta Smith,WR,PHI,10,239.1,36.6
35,Travis Etienne Jr.,RB,NO,8,246.7,40.8
36,Tetairoa McMillan,WR,CAR,5,236.2,42.2
38,Zay Flowers,WR,BAL,13,238.5,44.1
39,Emeka Egbuka,WR,TB,10,229.0,44.8
40,Quinshon Judkins,RB,CLE,11,226.7,48.7
41,Ladd McConkey,WR,LAC,7,221.0,45.8
42,Tee Higgins,WR,CIN,6,218.9,51.1
43,Colston Loveland,TE,CHI,10,206.9,42.4
44,Lamar Jackson,QB,BAL,13,322.5,34.6
45,Davante Adams,WR,LAR,11,232.2,46.1
46,Cam Skattebo,RB,NYG,8,227.4,45.1
47,D'Andre Swift,RB,CHI,10,210.5,51.7
48,Bhayshul Tuten,RB,JAX,7,206.0,61.2
49,Jaylen Waddle,WR,DEN,10,213.1,52.1
50,Bucky Irving,RB,TB,10,207.1,56.9
51,Terry McLaurin,WR,WSH,7,218.2,60.9
52,DJ Moore,WR,BUF,7,209.7,60.4
53,Tyler Warren,TE,IND,13,210.6,52.1
54,Jameson Williams,WR,DET,6,208.6,64.1
55,Rome Odunze,WR,CHI,10,213.6,65.0
56,Jayden Daniels,QB,WSH,7,317.5,53.1
58,Drake Maye,QB,NE,11,320.2,47.2
60,David Montgomery,RB,HOU,8,199.7,61.6
62,Jadarian Price,RB,SEA,11,194.1,67.0
64,Luther Burden III,WR,CHI,10,206.8,74.9
66,TreVeyon Henderson,RB,NE,11,197.9,77.5
